position,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
left,"0.3871677815914154,0.3627665936946869,-0.48078349232673645","0.3913865387439728,0.31834957003593445,-0.43778690695762634","0.39915522933006287,0.3183216452598572,-0.437392920255661","0.40672534704208374,0.31916922330856323,-0.43696558475494385","0.36441412568092346,0.3280458152294159,-0.4408756494522095","0.3539126515388489,0.3347633481025696,-0.44044315814971924","0.3433177173137665,0.3416944444179535,-0.44061484932899475","0.417612761259079,0.36284956336021423,-0.21966829895973206","0.32420697808265686,0.3951732814311981,-0.23196251690387726","0.40848034620285034,0.4197291433811188,-0.4052467346191406","0.372233510017395,0.42960235476493835,-0.4084703028202057","0.5359328389167786,0.6170610785484314,-0.1236242726445198","0.25133025646209717,0.7073297500610352,-0.16495577991008759","0.6999316811561584,0.597185492515564,-0.33166927099227905","0.14395727217197418,1.0379011631011963,-0.16516084969043732","0.7949950695037842,0.307149738073349,-0.6622501611709595","0.122249074280262,1.3235857486724854,-0.3757762312889099","0.8443100452423096,0.23114053905010223,-0.7283758521080017","0.10774164646863937,1.4296096563339233,-0.39798450469970703","0.8251116275787354,0.20038488507270813,-0.7086420655250549","0.13383521139621735,1.408132553100586,-0.434873104095459","0.8040246963500977,0.22223074734210968,-0.6753981709480286","0.1435236930847168,1.376976490020752,-0.4000583291053772","0.5207648873329163,1.379870057106018,-0.03655817732214928","0.3182211220264435,1.4008675813674927,0.04048599675297737","0.5344372391700745,1.964513897895813,0.027145354077219963","0.34404048323631287,1.9843908548355103,0.06695347279310226","0.5446193814277649,2.4640543460845947,0.4479074478149414","0.35889384150505066,2.481104612350464,0.3473769724369049","0.5513933300971985,2.5367507934570312,0.46880656480789185","0.3536827862262726,2.5520663261413574,0.3631592094898224","0.5253121256828308,2.6327083110809326,0.11681299656629562","0.40384069085121155,2.6539769172668457,-0.04196795076131821"
left,"0.3870692253112793,0.36568987369537354,-0.48690178990364075","0.39134839177131653,0.32042261958122253,-0.43913841247558594","0.3991203308105469,0.3202934265136719,-0.43875929713249207","0.40665605664253235,0.32106509804725647,-0.43829208612442017","0.36438995599746704,0.33071061968803406,-0.44547680020332336","0.35386645793914795,0.33769339323043823,-0.44512149691581726","0.34322574734687805,0.3449508845806122,-0.44536083936691284","0.4176096022129059,0.3651650547981262,-0.2283146232366562","0.32413625717163086,0.3967721164226532,-0.2341308295726776","0.40836670994758606,0.42101213335990906,-0.40797144174575806","0.3721831440925598,0.431405633687973,-0.415315717458725","0.5352729558944702,0.6172073483467102,-0.12571214139461517","0.2512475252151489,0.7066890001296997,-0.14338095486164093","0.6966801881790161,0.6086193323135376,-0.36005327105522156","0.14278064668178558,1.035011649131775,-0.06056687980890274","0.7929456233978271,0.3972645401954651,-0.7665203809738159","0.13066528737545013,1.3028275966644287,-0.16003267467021942","0.846628725528717,0.30263546109199524,-0.839549720287323","0.12182121723890305,1.408254623413086,-0.1620483547449112","0.8257610201835632,0.2691512703895569,-0.8267784714698792","0.14925377070903778,1.3856496810913086,-0.2120891660451889","0.8015697598457336,0.31024038791656494,-0.7819067239761353","0.15659783780574799,1.355419397354126,-0.18492156267166138","0.5208012461662292,1.3749884366989136,-0.04143766313791275","0.3182655870914459,1.3976036310195923,0.045554064214229584","0.5346683263778687,1.9618008136749268,-0.002068618079647422","0.3448493778705597,1.9815489053726196,0.07031743228435516","0.5456905961036682,2.463094711303711,0.4087749123573303","0.3601202666759491,2.4800634384155273,0.38660725951194763","0.5523466467857361,2.536567211151123,0.42876794934272766","0.3554070293903351,2.5519559383392334,0.4057781398296356","0.5263531804084778,2.6320202350616455,0.05561249330639839","0.4040883779525757,2.6515347957611084,-0.011051802895963192"
left,"0.38705697655677795,0.36798495054244995,-0.48467954993247986","0.3913790285587311,0.3212575614452362,-0.43979230523109436","0.3991437256336212,0.32113000750541687,-0.4394277334213257","0.40665721893310547,0.3219066262245178,-0.43905729055404663","0.3643706738948822,0.33158078789711,-0.44562286138534546","0.35383638739585876,0.33855119347572327,-0.4452178180217743","0.34320592880249023,0.3458265960216522,-0.44536092877388","0.41762575507164,0.365901380777359,-0.21218529343605042","0.3240751326084137,0.39682990312576294,-0.2302902489900589","0.40832987427711487,0.42233920097351074,-0.40255528688430786","0.37213024497032166,0.4332374036312103,-0.40956956148147583","0.5344589948654175,0.618529736995697,-0.11950209736824036","0.25035130977630615,0.7058145403862,-0.12207270413637161","0.6880003213882446,0.6213602423667908,-0.3707753121852875","0.14209315180778503,1.0338603258132935,-0.059729043394327164","0.779073178768158,0.45674407482147217,-0.7895177602767944","0.13041430711746216,1.3070323467254639,-0.17720581591129303","0.8331212401390076,0.3892892003059387,-0.8624495267868042","0.12099521607160568,1.4173704385757446,-0.17900730669498444","0.8072364330291748,0.3613257110118866,-0.8454504609107971","0.1485205441713333,1.4031206369400024,-0.22915460169315338","0.7816773056983948,0.39624226093292236,-0.8016600012779236","0.15638068318367004,1.370274543762207,-0.2019643485546112","0.5208600163459778,1.3696985244750977,-0.044392768293619156","0.3189057409763336,1.396511197090149,0.048420462757349014","0.5361278653144836,1.9568055868148804,2.171305095544085e-05","0.3472188413143158,1.9793055057525635,0.07613987475633621","0.5485575199127197,2.460888385772705,0.4080721139907837","0.3639249801635742,2.479888916015625,0.39657214283943176","0.5550968050956726,2.5363149642944336,0.42800262570381165","0.36062633991241455,2.551445245742798,0.41572004556655884","0.5315353870391846,2.630916118621826,0.06033735349774361","0.4068501591682434,2.6505126953125,-0.0007386544602923095"
left,"0.38707831501960754,0.36876925826072693,-0.45369046926498413","0.391326367855072,0.32128480076789856,-0.40935462713241577","0.3991134762763977,0.3211377263069153,-0.40897977352142334","0.4064978361129761,0.32190266251564026,-0.40863651037216187","0.36433905363082886,0.33164477348327637,-0.4157174229621887","0.353810578584671,0.33858755230903625,-0.4153302013874054","0.34318968653678894,0.3458274006843567,-0.4154509902000427","0.41698580980300903,0.3655523657798767,-0.18794147670269012","0.32403764128685,0.39611899852752686,-0.21401150524616241","0.40828171372413635,0.42260223627090454,-0.37619253993034363","0.3721306025981903,0.4336302876472473,-0.384134441614151","0.5332320928573608,0.6185697913169861,-0.09853629767894745","0.2502012550830841,0.7041073441505432,-0.11354593187570572","0.688066303730011,0.6501978039741516,-0.3470360040664673","0.14177455008029938,1.0308837890625,-0.09436560422182083","0.7728855609893799,0.48102709650993347,-0.7452581524848938","0.13240137696266174,1.300886631011963,-0.2587556838989258","0.8252575993537903,0.4233991801738739,-0.8108818531036377","0.12263036519289017,1.4075024127960205,-0.267701655626297","0.7958635091781616,0.393414169549942,-0.7779967784881592","0.15135495364665985,1.3893502950668335,-0.3102356791496277","0.7715438008308411,0.42188525199890137,-0.7479007840156555","0.15924692153930664,1.3578777313232422,-0.28238311409950256","0.521155595779419,1.3601958751678467,-0.04436098411679268","0.32006582617759705,1.3875254392623901,0.04838047921657562","0.5362027287483215,1.9500023126602173,-0.026289356872439384","0.3473418056964874,1.9722599983215332,0.07970812171697617","0.5485382080078125,2.458350419998169,0.33901727199554443","0.3641881048679352,2.4765572547912598,0.3768882751464844","0.5549586415290833,2.5352108478546143,0.35505548119544983","0.36082589626312256,2.549517869949341,0.3932451605796814","0.5319905281066895,2.6250240802764893,-0.0019256329396739602","0.40709933638572693,2.645298957824707,-0.010119566693902016"
left,"0.3881167471408844,0.3709610402584076,-0.4165900945663452","0.39175981283187866,0.3216952681541443,-0.3738207519054413","0.39932405948638916,0.3215167820453644,-0.3734315037727356","0.4065829813480377,0.3221176564693451,-0.37308424711227417","0.36496827006340027,0.33169957995414734,-0.38060715794563293","0.35431188344955444,0.33857545256614685,-0.3802040219306946","0.3436124622821808,0.3456379175186157,-0.3803315758705139","0.41684433817863464,0.36423346400260925,-0.1648673713207245","0.3240337669849396,0.3931538760662079,-0.194560706615448","0.40869617462158203,0.4240579307079315,-0.3443366587162018","0.3732971251010895,0.4346727132797241,-0.35307496786117554","0.5308778882026672,0.6161541938781738,-0.08589859306812286","0.2501623034477234,0.7033643126487732,-0.09766443818807602","0.6886523962020874,0.6882291436195374,-0.3292869031429291","0.14156846702098846,1.042129397392273,-0.050359807908535004","0.7662454843521118,0.48576393723487854,-0.7053596377372742","0.1325337439775467,1.3155944347381592,-0.1819445788860321","0.8215631246566772,0.42480984330177307,-0.7718307375907898","0.1224772110581398,1.418839931488037,-0.18558858335018158","0.7884396910667419,0.39836639165878296,-0.7314407825469971","0.15066173672676086,1.3967499732971191,-0.22634997963905334","0.7629213929176331,0.42709794640541077,-0.7056915163993835","0.15876366198062897,1.3665778636932373,-0.20380325615406036","0.525104820728302,1.3586112260818481,-0.044138677418231964","0.3239269554615021,1.3874876499176025,0.04815365746617317","0.5401678681373596,1.949113130569458,-0.05790285766124725","0.35127490758895874,1.9723397493362427,0.0900626853108406","0.5533840656280518,2.4579577445983887,0.28147822618484497","0.36918237805366516,2.4773974418640137,0.3845685124397278","0.5598413348197937,2.5348758697509766,0.2964352071285248","0.36616572737693787,2.5513546466827393,0.4018051326274872","0.5386312007904053,2.624455451965332,-0.04557385668158531","0.41395968198776245,2.645310640335083,0.0034970310516655445"
left,"0.38863202929496765,0.37153828144073486,-0.40575823187828064","0.39192435145378113,0.32174378633499146,-0.36631959676742554","0.39941173791885376,0.3215582072734833,-0.3659394681453705","0.4066218137741089,0.3221338391304016,-0.3656572103500366","0.3653573989868164,0.3316960036754608,-0.37110885977745056","0.3547864258289337,0.3385028839111328,-0.37074506282806396","0.3442261815071106,0.3453981280326843,-0.3709474205970764","0.41690292954444885,0.36306408047676086,-0.16460996866226196","0.3242848515510559,0.3913690745830536,-0.18673890829086304","0.40924322605133057,0.4246455132961273,-0.33494195342063904","0.3745417296886444,0.4348587095737457,-0.341104120016098","0.5308979153633118,0.6159347891807556,-0.06800655275583267","0.25039973855018616,0.7020040154457092,-0.09209851175546646","0.6896728277206421,0.747239887714386,-0.2562618851661682","0.1404716521501541,1.0501819849014282,-0.0061398521065711975","0.7540600299835205,0.49946627020835876,-0.5828631520271301","0.13444963097572327,1.3093338012695312,-0.10303377360105515","0.8096444010734558,0.44197461009025574,-0.6426578760147095","0.1262616664171219,1.4069374799728394,-0.10516280680894852","0.7742142081260681,0.4007585644721985,-0.604193925857544","0.15260814130306244,1.3824586868286133,-0.1471347063779831","0.7499881386756897,0.42317450046539307,-0.5837951898574829","0.1598622351884842,1.3542338609695435,-0.12462549656629562","0.5249940156936646,1.3586941957473755,-0.04204144701361656","0.3239137828350067,1.3870609998703003,0.045951712876558304","0.5388050675392151,1.9507718086242676,-0.05143829435110092","0.34892159700393677,1.9727445840835571,0.09239925444126129","0.5503559708595276,2.4632182121276855,0.2925049364566803","0.366270512342453,2.4806737899780273,0.3898911774158478","0.555901825428009,2.5397703647613525,0.30935901403427124","0.3630326986312866,2.554994821548462,0.4079720079898834","0.536636233329773,2.6280014514923096,-0.023360053077340126","0.411913126707077,2.6470096111297607,0.022193539887666702"
left,"0.39066606760025024,0.3729541301727295,-0.35930630564689636","0.39203253388404846,0.32267993688583374,-0.3201119601726532","0.39938971400260925,0.32226863503456116,-0.3197411596775055","0.406428724527359,0.3225673735141754,-0.31947535276412964","0.36630284786224365,0.3327815532684326,-0.32663896679878235","0.35591214895248413,0.3393702507019043,-0.326259046792984","0.34564802050590515,0.34613659977912903,-0.3264857232570648","0.4152868390083313,0.3627431094646454,-0.12778717279434204","0.32469215989112854,0.3914493918418884,-0.15617479383945465","0.41001859307289124,0.42526930570602417,-0.2918286621570587","0.3775244951248169,0.4353089928627014,-0.3000006377696991","0.530935525894165,0.6163849234580994,-0.037847112864255905","0.2508017122745514,0.7021246552467346,-0.07494550198316574","0.6900833249092102,0.7837956547737122,-0.19021528959274292","0.14190831780433655,1.0664621591567993,0.012679354287683964","0.7389068007469177,0.51720130443573,-0.4907848536968231","0.14212855696678162,1.326674461364746,-0.096902996301651","0.7895203828811646,0.45449358224868774,-0.5475305914878845","0.1357245296239853,1.4215943813323975,-0.10079815983772278","0.75640469789505,0.4105072617530823,-0.5138238072395325","0.1580289900302887,1.4005310535430908,-0.15228083729743958","0.7309913039207458,0.4317881762981415,-0.49288949370384216","0.16437329351902008,1.3717222213745117,-0.12322991341352463","0.5249947309494019,1.3587979078292847,-0.03870955482125282","0.32432782649993896,1.387025237083435,0.04247818887233734","0.5388152003288269,1.9507545232772827,-0.05441918596625328","0.34897518157958984,1.9728282690048218,0.08791185170412064","0.5505939722061157,2.4638290405273438,0.2695981562137604","0.36662453413009644,2.4834539890289307,0.3673642873764038","0.555961012840271,2.53987717628479,0.284406453371048","0.36374932527542114,2.558121919631958,0.38490837812423706","0.5376124978065491,2.6275174617767334,-0.038651321083307266","0.4123888909816742,2.64699649810791,0.01406144630163908"
left,"0.3910134434700012,0.37439554929733276,-0.3424341380596161","0.39208847284317017,0.3235771059989929,-0.3092677891254425","0.3993763029575348,0.32296568155288696,-0.30896249413490295","0.4063979387283325,0.3230462372303009,-0.30865877866744995","0.36673611402511597,0.3339426815509796,-0.31026941537857056","0.3565365970134735,0.3403280973434448,-0.3099409341812134","0.3465375602245331,0.34695544838905334,-0.31020691990852356","0.4151124954223633,0.3621941804885864,-0.13720814883708954","0.3260513246059418,0.3914424180984497,-0.14496709406375885","0.4102386236190796,0.4257753789424896,-0.2816028594970703","0.378073513507843,0.43580588698387146,-0.28335580229759216","0.5315648317337036,0.617007315158844,-0.047918252646923065","0.25118035078048706,0.7019227147102356,-0.059337422251701355","0.6835163235664368,0.8480625748634338,-0.19010281562805176","0.14523911476135254,1.0750775337219238,0.06410253047943115","0.7260438203811646,0.5533199310302734,-0.46271103620529175","0.1439121514558792,1.3376433849334717,0.007055404130369425","0.7736612558364868,0.48142242431640625,-0.5154656767845154","0.13705267012119293,1.4332932233810425,0.012698870152235031","0.7446805834770203,0.4278332591056824,-0.4893249571323395","0.1590404510498047,1.411065697669983,-0.03490588441491127","0.719495952129364,0.4527609348297119,-0.4665352404117584","0.16596220433712006,1.380686640739441,-0.017485562711954117","0.5244899988174438,1.3588727712631226,-0.03871063515543938","0.32398632168769836,1.3868504762649536,0.04248791188001633","0.5374876856803894,1.950134515762329,-0.054634928703308105","0.34534645080566406,1.9728294610977173,0.06676983088254929","0.54944908618927,2.464069128036499,0.28119733929634094","0.36507466435432434,2.483384132385254,0.3345528542995453","0.5543399453163147,2.5396430492401123,0.2974434792995453","0.36240118741989136,2.557692527770996,0.3514563739299774","0.5375429391860962,2.6271214485168457,-0.02877962775528431","0.4123470187187195,2.646453857421875,-0.0206645168364048"
left,"0.3895985782146454,0.37441694736480713,-0.3261221647262573","0.3913346529006958,0.323594331741333,-0.295429527759552","0.39857620000839233,0.3229699730873108,-0.2951236367225647","0.4055103063583374,0.3230467736721039,-0.2948611080646515","0.36608168482780457,0.33397090435028076,-0.2958618998527527","0.3560788333415985,0.3403226137161255,-0.29547932744026184","0.3461756408214569,0.34691473841667175,-0.29573121666908264","0.4146169126033783,0.3607294261455536,-0.12812653183937073","0.32603317499160767,0.3900187015533447,-0.131443053483963","0.4094729423522949,0.4256894290447235,-0.2657390534877777","0.376397967338562,0.4356233775615692,-0.26673778891563416","0.5315384268760681,0.6170567274093628,-0.03642241656780243","0.2511448264122009,0.6997992992401123,-0.04416573792695999","0.6671678423881531,0.890259861946106,-0.17251016199588776","0.1555030643939972,1.07609224319458,0.056226931512355804","0.711719810962677,0.581668496131897,-0.4488571882247925","0.14799843728542328,1.3267755508422852,-0.03363705053925514","0.7550592422485352,0.5147344470024109,-0.5037263035774231","0.138997420668602,1.4220117330551147,-0.03341548144817352","0.7288211584091187,0.45434606075286865,-0.47739410400390625","0.16011647880077362,1.3999263048171997,-0.07739957422018051","0.7074382305145264,0.4820690155029297,-0.4520936608314514","0.1682601124048233,1.3709664344787598,-0.057203490287065506","0.524247944355011,1.3562486171722412,-0.036636315286159515","0.32399389147758484,1.3837140798568726,0.04050365462899208","0.5371271967887878,1.9426441192626953,-0.05315285548567772","0.3449518084526062,1.9661078453063965,0.0498308464884758","0.5493049621582031,2.458519220352173,0.263480544090271","0.3651312589645386,2.4739928245544434,0.29305803775787354","0.5542411804199219,2.5320613384246826,0.277066171169281","0.36242157220840454,2.544886350631714,0.3078070878982544","0.5373915433883667,2.619530439376831,-0.04245654121041298","0.41309455037117004,2.6344218254089355,-0.05783640220761299"
left,"0.3893778622150421,0.3724537491798401,-0.35171741247177124","0.39107972383499146,0.3215532898902893,-0.31747403740882874","0.3982733488082886,0.3208425045013428,-0.3172031342983246","0.4051281213760376,0.32086795568466187,-0.3169567286968231","0.3657093048095703,0.3319452404975891,-0.3198488652706146","0.3556991517543793,0.3381243646144867,-0.31945449113845825","0.34574273228645325,0.3444325029850006,-0.3196886479854584","0.4140174984931946,0.3556036353111267,-0.13333429396152496","0.32565975189208984,0.3861055076122284,-0.14263877272605896","0.40912309288978577,0.4236205518245697,-0.28524890542030334","0.37601402401924133,0.43327268958091736,-0.288156121969223","0.5316774845123291,0.6173061728477478,-0.03752366453409195","0.2508758008480072,0.6997823119163513,-0.05517708137631416","0.664396345615387,0.9046775698661804,-0.20592080056667328","0.1589631736278534,1.0789765119552612,0.01475573144853115","0.708382248878479,0.5968184471130371,-0.5226594805717468","0.1474778801202774,1.290887713432312,-0.060555506497621536","0.7499824166297913,0.5302350521087646,-0.5816361904144287","0.13782855868339539,1.3669707775115967,-0.08516107499599457","0.722716748714447,0.46792683005332947,-0.5561887621879578","0.15408839285373688,1.3310538530349731,-0.12872003018856049","0.702407956123352,0.4968368411064148,-0.5278198719024658","0.1629183441400528,1.3077229261398315,-0.09157605469226837","0.5243650674819946,1.3563416004180908,-0.036623504012823105","0.3241533637046814,1.3841490745544434,0.040502019226551056","0.5380750894546509,1.9426522254943848,-0.05543152242898941","0.34522613883018494,1.9662505388259888,0.05671817436814308","0.5509464144706726,2.4584546089172363,0.25996407866477966","0.366612046957016,2.474071502685547,0.30656158924102783","0.5562255382537842,2.532003164291382,0.27335792779922485","0.36365947127342224,2.5449271202087402,0.3224225342273712","0.5387881994247437,2.6199824810028076,-0.049043361097574234","0.4153686761856079,2.6345255374908447,-0.04753144830465317"
left,"0.3878902196884155,0.37238335609436035,-0.3498958945274353","0.38983482122421265,0.32133808732032776,-0.3172413408756256","0.3970264792442322,0.32057836651802063,-0.31700676679611206","0.40374043583869934,0.32056236267089844,-0.316792756319046","0.36434105038642883,0.33182644844055176,-0.316651314496994","0.3544798493385315,0.33793821930885315,-0.31623372435569763","0.34455057978630066,0.3441457152366638,-0.31649836897850037","0.4129440188407898,0.3540079593658447,-0.13423044979572296","0.32545363903045654,0.38469862937927246,-0.12935194373130798","0.4077698588371277,0.4233865737915039,-0.2840200662612915","0.3743738532066345,0.43304526805877686,-0.2826739251613617","0.5318518280982971,0.6173480153083801,-0.03502379357814789","0.2508932054042816,0.6965892910957336,-0.0434115007519722","0.6654362082481384,0.9053325653076172,-0.20215925574302673","0.1604481339454651,1.081781268119812,0.0021087629720568657","0.7107976675033569,0.6078708171844482,-0.5164633989334106","0.14514930546283722,1.2323452234268188,-0.23347003757953644","0.7530701160430908,0.5347881317138672,-0.573951780796051","0.13419796526432037,1.2922675609588623,-0.2576982378959656","0.730207622051239,0.47536468505859375,-0.5480732321739197","0.14762096107006073,1.24983811378479,-0.29148852825164795","0.7092338800430298,0.5051218271255493,-0.5202192068099976","0.15758474171161652,1.2319746017456055,-0.25780272483825684","0.5242922306060791,1.3564141988754272,-0.03625526651740074","0.32397711277008057,1.3833541870117188,0.040155887603759766","0.5380821824073792,1.9412615299224854,-0.06862702965736389","0.3451860249042511,1.9645322561264038,0.06108571216464043","0.550787627696991,2.4558558464050293,0.23392385244369507","0.3663240671157837,2.470503091812134,0.31981271505355835","0.5561850666999817,2.5272457599639893,0.24513347446918488","0.36299169063568115,2.5396158695220947,0.3364543914794922","0.5376530885696411,2.618865728378296,-0.08754619210958481","0.41524747014045715,2.633087158203125,-0.03858528658747673"
left,"0.38606807589530945,0.3724817931652069,-0.3543177545070648","0.38734421133995056,0.3214046359062195,-0.3218219578266144","0.3944160044193268,0.3206157088279724,-0.3215741217136383","0.40082013607025146,0.3205737769603729,-0.3212946355342865","0.36230406165122986,0.3319607675075531,-0.32069289684295654","0.3526483178138733,0.33804813027381897,-0.32024282217025757","0.34276703000068665,0.3442423641681671,-0.3204838037490845","0.40926435589790344,0.3538464605808258,-0.13902254402637482","0.323935329914093,0.38472363352775574,-0.13905397057533264","0.4060686230659485,0.42350348830223083,-0.2917741537094116","0.3725377917289734,0.43343430757522583,-0.29028835892677307","0.5318719744682312,0.6190875172615051,-0.04399609938263893","0.24994227290153503,0.6986896395683289,-0.050398070365190506","0.6663936972618103,0.8964110612869263,-0.21530281007289886","0.1761048287153244,1.0454069375991821,0.10538168996572495","0.7178543210029602,0.6089300513267517,-0.5123765468597412","0.14692682027816772,1.330625057220459,0.10603170096874237","0.7593815922737122,0.5343998074531555,-0.5653141140937805","0.13600333034992218,1.4200880527496338,0.12275004386901855","0.7307419180870056,0.4742606282234192,-0.5361827611923218","0.15051637589931488,1.3952019214630127,0.0722045749425888","0.712476909160614,0.5032345652580261,-0.5158040523529053","0.1608419567346573,1.365939974784851,0.08160056918859482","0.5253218412399292,1.357087254524231,-0.03911355510354042","0.3240564167499542,1.3851521015167236,0.043163083493709564","0.5394850373268127,1.9440950155258179,-0.0655125230550766","0.34597063064575195,1.9679381847381592,0.06361306458711624","0.5528905391693115,2.459251642227173,0.2578544616699219","0.3681368827819824,2.4745969772338867,0.3283703029155731","0.5587061047554016,2.531137466430664,0.2698652446269989","0.3649568557739258,2.543842315673828,0.345567524433136","0.5402805209159851,2.6224000453948975,-0.07837986946105957","0.4197309613227844,2.6380722522735596,-0.03368525207042694"
left,"0.38602736592292786,0.36875173449516296,-0.35823914408683777","0.3867626190185547,0.3185123801231384,-0.3241756856441498","0.39377909898757935,0.3179202675819397,-0.3239051401615143","0.4000724256038666,0.31800955533981323,-0.32358357310295105","0.36172041296958923,0.3286387622356415,-0.32579973340034485","0.3520697057247162,0.3347710371017456,-0.32539746165275574","0.34212273359298706,0.3409607708454132,-0.3256494402885437","0.4077100455760956,0.35065314173698425,-0.1430564522743225","0.32329779863357544,0.38244932889938354,-0.1409904956817627","0.4060137867927551,0.4211668372154236,-0.2956429123878479","0.3725348114967346,0.43124812841415405,-0.29728201031684875","0.5332769751548767,0.6203175187110901,-0.046087026596069336","0.2492566704750061,0.7008078694343567,-0.07062672823667526","0.6671097278594971,0.9019907116889954,-0.1962357461452484","0.1831771433353424,1.034651517868042,0.07880433648824692","0.7181230783462524,0.6086598634719849,-0.4892265200614929","0.1510581225156784,1.35049569606781,0.09280484169721603","0.7741562724113464,0.5378146171569824,-0.5395100116729736","0.14013466238975525,1.4437860250473022,0.11166095733642578","0.743484616279602,0.47623851895332336,-0.5129130482673645","0.15639035403728485,1.4217685461044312,0.060955166816711426","0.719717264175415,0.5024358630180359,-0.49435198307037354","0.16659681499004364,1.3906904458999634,0.06907758861780167","0.5270081162452698,1.3586894273757935,-0.035763371735811234","0.3243393003940582,1.3881287574768066,0.039881039410829544","0.5404864549636841,1.946844220161438,-0.06386078894138336","0.3460313379764557,1.9722900390625,0.0503242127597332","0.5538591742515564,2.464473247528076,0.2823559045791626","0.3684645891189575,2.478100061416626,0.3236403465270996","0.55985426902771,2.537825584411621,0.2986784875392914","0.3652310073375702,2.5480217933654785,0.34130796790122986","0.5424734354019165,2.627228260040283,-0.03227904066443443","0.42177438735961914,2.639981508255005,-0.03894788771867752"
left,"0.38548544049263,0.367599219083786,-0.364003449678421","0.3863696753978729,0.3171898126602173,-0.3287796676158905","0.39355993270874023,0.31651172041893005,-0.32849276065826416","0.3999732434749603,0.31653374433517456,-0.3281773626804352","0.36056822538375854,0.3274477422237396,-0.3310259282588959","0.35080990195274353,0.33348867297172546,-0.3306254744529724","0.34078386425971985,0.3394821286201477,-0.3308693766593933","0.40778666734695435,0.3481161594390869,-0.15253543853759766","0.32263627648353577,0.38042277097702026,-0.14543280005455017","0.40598970651626587,0.42015063762664795,-0.29824647307395935","0.37221676111221313,0.43043017387390137,-0.301644891500473","0.5365756154060364,0.6208826899528503,-0.05393526703119278","0.24913768470287323,0.7014707326889038,-0.0712558701634407","0.6672235131263733,0.9041840434074402,-0.20564007759094238","0.18643207848072052,1.0227794647216797,0.05665618181228638","0.7314484715461731,0.6238765120506287,-0.4968878924846649","0.15311312675476074,1.359445571899414,0.00897687952965498","0.7956464290618896,0.547736644744873,-0.5480627417564392","0.14283043146133423,1.4555222988128662,0.017752118408679962","0.7591702342033386,0.48541396856307983,-0.5235660076141357","0.16255399584770203,1.4320597648620605,-0.028694739565253258","0.7325667142868042,0.5127487778663635,-0.5025885105133057","0.1724049150943756,1.4001212120056152,-0.01501594390720129","0.530745804309845,1.3615988492965698,-0.035867176949977875","0.3256981074810028,1.3912068605422974,0.040002573281526566","0.5428158640861511,1.952993392944336,-0.06085485965013504","0.3465723693370819,1.9800770282745361,0.052891261875629425","0.5551621913909912,2.473329782485962,0.3034939467906952","0.36890295147895813,2.4876770973205566,0.3324982523918152","0.561192512512207,2.5487189292907715,0.32189375162124634","0.3656986951828003,2.5591444969177246,0.35152822732925415","0.5436115264892578,2.6357955932617188,-0.004418777301907539","0.4226573407649994,2.650632619857788,-0.02560136839747429"
left,"0.3843475580215454,0.36758187413215637,-0.3824823796749115","0.38551464676856995,0.3170706033706665,-0.35299718379974365","0.39288416504859924,0.31632888317108154,-0.35268232226371765","0.39946016669273376,0.3162924349308014,-0.35238590836524963","0.3593331575393677,0.32735222578048706,-0.34951505064964294","0.34956157207489014,0.3333137035369873,-0.34915146231651306","0.33958205580711365,0.3391858637332916,-0.3493652641773224","0.40770071744918823,0.3476070463657379,-0.19060470163822174","0.3224145472049713,0.37971359491348267,-0.16987022757530212","0.4054020643234253,0.41996222734451294,-0.322574645280838","0.3711934983730316,0.4302467107772827,-0.31841257214546204","0.5384208559989929,0.6209017634391785,-0.0784912183880806","0.2491699606180191,0.7025611996650696,-0.07757770270109177","0.6719774603843689,0.8989711403846741,-0.207937553524971","0.18309451639652252,1.0131274461746216,0.08986200392246246","0.7473202347755432,0.6313092112541199,-0.479829877614975","0.15236172080039978,1.3621649742126465,0.11809642612934113","0.8127968311309814,0.5549975633621216,-0.5314475893974304","0.14230960607528687,1.4587396383285522,0.13717450201511383","0.7805761098861694,0.49358102679252625,-0.5110838413238525","0.16274061799049377,1.437761902809143,0.0895649641752243","0.7522962093353271,0.5199843049049377,-0.48720014095306396","0.17224285006523132,1.4059758186340332,0.09563220292329788","0.5329899787902832,1.3635470867156982,-0.0358416922390461","0.32928040623664856,1.3926713466644287,0.03997717797756195","0.5446345806121826,1.9545021057128906,-0.04182720184326172","0.3479507267475128,1.9820805788040161,0.05589474365115166","0.5564204454421997,2.4748497009277344,0.346856951713562","0.3712383210659027,2.4897820949554443,0.3328951895236969","0.5622432827949524,2.550057888031006,0.3689023554325104","0.3680586814880371,2.561129093170166,0.3531957268714905","0.5456758141517639,2.6367177963256836,0.05109141394495964","0.42543691396713257,2.6519386768341064,-0.01985495537519455"
