position,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
left,"0.39274629950523376,0.34163931012153625,-0.12664534151554108","0.4064320921897888,0.3076614737510681,-0.08580837398767471","0.4159446358680725,0.31170302629470825,-0.08572902530431747","0.42460644245147705,0.31672540307044983,-0.08558902144432068","0.3800945281982422,0.3094196021556854,-0.08934810757637024","0.3713623881340027,0.3133915662765503,-0.08933860808610916","0.3625231087207794,0.31763097643852234,-0.0898490622639656","0.43829694390296936,0.35584166646003723,0.101669542491436","0.35366693139076233,0.3469807505607605,0.08784592151641846","0.4121131896972656,0.39283522963523865,-0.06342913210391998","0.3791187107563019,0.3934406042098999,-0.06728367507457733","0.5295813679695129,0.6002108454704285,0.20269230008125305","0.2723073363304138,0.5783284306526184,-0.019910352304577827","0.6666751503944397,0.792466402053833,0.10326177626848221","0.20023609697818756,0.6420597434043884,-0.4555395543575287","0.8282590508460999,0.7535480260848999,-0.17173831164836884","0.3284478783607483,0.37925243377685547,-0.75096595287323","0.8830515742301941,0.7448101043701172,-0.22414830327033997","0.38981419801712036,0.3093046545982361,-0.8288983702659607","0.877866804599762,0.7133788466453552,-0.24350562691688538","0.40371084213256836,0.289772629737854,-0.7273050546646118","0.853524923324585,0.7216078639030457,-0.19855652749538422","0.3820938467979431,0.3171599805355072,-0.7376996278762817","0.4902629554271698,1.2770947217941284,0.013227914460003376","0.30178162455558777,1.249897837638855,-0.010465908795595169","0.4774133563041687,1.790292739868164,-0.0900890901684761","0.30735862255096436,1.7781932353973389,-0.09180649369955063","0.4609631299972534,2.2703495025634766,0.09250478446483612","0.2976628243923187,2.2615134716033936,-0.08930781483650208","0.46280670166015625,2.3426151275634766,0.08933811634778976","0.288398414850235,2.329055070877075,-0.10043344646692276","0.45016154646873474,2.401498794555664,-0.23027700185775757","0.3271462023258209,2.404724359512329,-0.42638590931892395"
left,"0.3954044282436371,0.33972564339637756,-0.0941302627325058","0.408077210187912,0.3041251003742218,-0.039798736572265625","0.4170454740524292,0.30774959921836853,-0.03972749039530754","0.4251419007778168,0.31245556473731995,-0.03956351429224014","0.3814387917518616,0.3067106008529663,-0.054307494312524796","0.372091680765152,0.31066539883613586,-0.054289303719997406","0.3627640902996063,0.31485894322395325,-0.05476948991417885","0.4361039102077484,0.353045254945755,0.17753808200359344","0.35121312737464905,0.3437873423099518,0.12168265134096146","0.4135087728500366,0.3918858468532562,-0.021245818585157394","0.3797416090965271,0.39315909147262573,-0.03862932696938515","0.5250232219696045,0.6002665758132935,0.262241393327713","0.270403116941452,0.576517641544342,8.498544048052281e-05","0.6601134538650513,0.8010141849517822,0.1600317806005478","0.1995648294687271,0.6491187214851379,-0.42825639247894287","0.814831554889679,0.7877382636070251,-0.09947492927312851","0.3630407750606537,0.40491431951522827,-0.7255532741546631","0.8691575527191162,0.7850458025932312,-0.14789362251758575","0.40653106570243835,0.31367212533950806,-0.8008782267570496","0.8620702028274536,0.7537794709205627,-0.17025209963321686","0.4049997329711914,0.3042829930782318,-0.7398329377174377","0.8401502966880798,0.7616510391235352,-0.12576361000537872","0.4065569341182709,0.3349524140357971,-0.716305673122406","0.4887327253818512,1.2736642360687256,0.019215067848563194","0.30040988326072693,1.2459843158721924,-0.016299793496727943","0.4774020314216614,1.783277988433838,-0.07592927664518356","0.3077375292778015,1.7770733833312988,-0.09581802785396576","0.461715430021286,2.2616217136383057,0.10873658210039139","0.29835042357444763,2.2579872608184814,-0.04897100105881691","0.46305781602859497,2.3322677612304688,0.10399140417575836","0.2878158688545227,2.3252859115600586,-0.056032538414001465","0.45359957218170166,2.3968665599823,-0.20659594237804413","0.33160290122032166,2.4004857540130615,-0.4083074629306793"
left,"0.3953588902950287,0.33968812227249146,-0.12460038810968399","0.40784454345703125,0.3037761151790619,-0.07188554853200912","0.4168066680431366,0.3072516918182373,-0.07181576639413834","0.4248881936073303,0.3118203580379486,-0.07164297997951508","0.38115394115448,0.3064229190349579,-0.08715610951185226","0.3718009889125824,0.31026577949523926,-0.08709564059972763","0.36245548725128174,0.31429094076156616,-0.08755658566951752","0.43575364351272583,0.3525646924972534,0.15190547704696655","0.3499870002269745,0.3432130813598633,0.09481971710920334","0.4136545956134796,0.39154478907585144,-0.0476357564330101","0.3797108232975006,0.39333537220954895,-0.06610675901174545","0.5273581743240356,0.6073850393295288,0.26167094707489014","0.2721533179283142,0.5763484835624695,-0.027167659252882004","0.6590420007705688,0.8164130449295044,0.13331539928913116","0.20321442186832428,0.6538456678390503,-0.45894214510917664","0.8160770535469055,0.8130248188972473,-0.14641913771629333","0.51866614818573,0.4774247407913208,-0.7884290218353271","0.8725869059562683,0.8171980381011963,-0.19432298839092255","0.5713055729866028,0.44044235348701477,-0.8715004324913025","0.8620332479476929,0.7864160537719727,-0.21383680403232574","0.5726490020751953,0.4058004915714264,-0.8029547333717346","0.8382053971290588,0.789267361164093,-0.17131008207798004","0.5686816573143005,0.4275338053703308,-0.7752960324287415","0.488553911447525,1.270527720451355,0.027160342782735825","0.2968592941761017,1.2434946298599243,-0.023916086181998253","0.47517409920692444,1.7783602476119995,-0.07154129445552826","0.30472999811172485,1.7746533155441284,-0.09736166149377823","0.45632487535476685,2.2572622299194336,0.1321215033531189","0.2924565374851227,2.2559773921966553,-0.03699776902794838","0.4564494788646698,2.329129219055176,0.13165846467018127","0.2794440984725952,2.325145721435547,-0.043710000813007355","0.45061010122299194,2.3930611610412598,-0.18891200423240662","0.33092981576919556,2.3977251052856445,-0.4067436754703522"
left,"0.3952932357788086,0.3399292528629303,-0.12268391996622086","0.4081001877784729,0.3038284480571747,-0.07536205649375916","0.4174140691757202,0.3072609007358551,-0.07526003569364548","0.4258546829223633,0.3118077218532562,-0.07508601248264313","0.3809594511985779,0.3063407838344574,-0.08516955375671387","0.3715945780277252,0.3100598156452179,-0.0850948914885521","0.36221572756767273,0.31388533115386963,-0.08555643260478973","0.437931627035141,0.35210326313972473,0.14163178205490112","0.3495587408542633,0.34301644563674927,0.097407266497612","0.4140310287475586,0.3928987681865692,-0.050700973719358444","0.3796530067920685,0.39392009377479553,-0.06217941269278526","0.528416633605957,0.6164081692695618,0.2555307447910309","0.27142322063446045,0.5760301351547241,-0.02628304436802864","0.6560001969337463,0.8321225047111511,0.11720471829175949","0.20208151638507843,0.6556091904640198,-0.4751397669315338","0.8154603242874146,0.8434807658195496,-0.1617022007703781","0.4663793444633484,0.4866846203804016,-0.7965079545974731","0.8688839673995972,0.8500002026557922,-0.21160954236984253","0.5165512561798096,0.4435350000858307,-0.8800566792488098","0.8572666049003601,0.8199400305747986,-0.22744883596897125","0.5250763297080994,0.41080155968666077,-0.804467499256134","0.8351077437400818,0.8204531669616699,-0.1857183575630188","0.5101653337478638,0.4385983347892761,-0.7805784344673157","0.48742225766181946,1.273632526397705,0.026328418403863907","0.29459860920906067,1.2466529607772827,-0.02305453084409237","0.47423142194747925,1.7827396392822266,-0.07251928001642227","0.30427974462509155,1.777389645576477,-0.07164701074361801","0.4567364752292633,2.261470079421997,0.13851149380207062","0.2935422658920288,2.257176637649536,0.023538194596767426","0.4569302797317505,2.3351447582244873,0.1397596001625061","0.2810743749141693,2.3260135650634766,0.0197181086987257","0.45109233260154724,2.393702745437622,-0.18018436431884766","0.33147531747817993,2.40018892288208,-0.34393537044525146"
left,"0.39670413732528687,0.3424348533153534,-0.17139236629009247","0.40982547402381897,0.3048204183578491,-0.12285248935222626","0.4188166558742523,0.3082578480243683,-0.12278400361537933","0.4268128573894501,0.3126169741153717,-0.12257177382707596","0.38291874527931213,0.30679160356521606,-0.14034296572208405","0.37375739216804504,0.3103892505168915,-0.1402321606874466","0.36456921696662903,0.3141339123249054,-0.14071036875247955","0.4370742738246918,0.35190853476524353,0.11014743149280548","0.351620614528656,0.34324005246162415,0.04004647955298424","0.4147488474845886,0.3960767388343811,-0.08934178203344345","0.38054266571998596,0.3981308937072754,-0.10982705652713776","0.5257042050361633,0.6156534552574158,0.22840692102909088","0.27128368616104126,0.5747023820877075,-0.09522786736488342","0.6470586061477661,0.8289359211921692,0.06531199812889099","0.20298926532268524,0.6634058356285095,-0.6099809408187866","0.812038779258728,0.8605596423149109,-0.2694011926651001","0.5448554158210754,0.5101032853126526,-0.9504695534706116","0.8633754253387451,0.8675162196159363,-0.32946592569351196","0.5993902087211609,0.49052396416664124,-1.040198802947998","0.8516450524330139,0.8424168825149536,-0.3585132658481598","0.6165703535079956,0.4534987807273865,-0.975879967212677","0.8304189443588257,0.8438122868537903,-0.2979711592197418","0.5938799381256104,0.4647770822048187,-0.9350760579109192","0.4845244586467743,1.271759033203125,0.03415771201252937","0.2885534167289734,1.245992660522461,-0.03086906485259533","0.4707891643047333,1.779600739479065,-0.03373813256621361","0.30061331391334534,1.7741165161132812,-0.07176733016967773","0.4517345130443573,2.25990891456604,0.2202099859714508","0.2916278541088104,2.2516283988952637,0.028085196390748024","0.4511050879955292,2.3332433700561523,0.22533413767814636","0.2787152826786041,2.320065975189209,0.025758838281035423","0.4477137625217438,2.3880934715270996,-0.09018415957689285","0.3318622410297394,2.3958535194396973,-0.3384833037853241"
left,"0.39624646306037903,0.3425513207912445,-0.17423005402088165","0.40960556268692017,0.30508530139923096,-0.12437913566827774","0.41853901743888855,0.30864307284355164,-0.12431401759386063","0.42648226022720337,0.3129962682723999,-0.12409713864326477","0.38272732496261597,0.3068389594554901,-0.1408623307943344","0.37355297803878784,0.3103823959827423,-0.14073063433170319","0.3644694983959198,0.314043253660202,-0.14123563468456268","0.436210960149765,0.351828396320343,0.11078153550624847","0.3534466028213501,0.34338030219078064,0.04300511255860329","0.41470807790756226,0.39608505368232727,-0.09009268879890442","0.38002169132232666,0.398181289434433,-0.10982979834079742","0.5241858959197998,0.6187688708305359,0.23451365530490875","0.2710893750190735,0.5745402574539185,-0.08941654115915298","0.6388817429542542,0.8477346301078796,0.12351806461811066","0.2040678709745407,0.6728575825691223,-0.6083139777183533","0.8083276152610779,0.8952882289886475,-0.1647704690694809","0.5526541471481323,0.5214577317237854,-0.9720017313957214","0.8591318726539612,0.9020881056785583,-0.21327826380729675","0.6203209757804871,0.5083299875259399,-1.0623928308486938","0.8546460270881653,0.87766432762146,-0.251473993062973","0.6270865201950073,0.47406768798828125,-1.000701665878296","0.8326528072357178,0.8798173666000366,-0.19476744532585144","0.603521466255188,0.48159557580947876,-0.9577643275260925","0.48262837529182434,1.268623948097229,0.0412929393351078","0.2855251431465149,1.2377119064331055,-0.03813369944691658","0.46592968702316284,1.766896367073059,-0.03230418637394905","0.2954907715320587,1.759613275527954,-0.0758814737200737","0.44339418411254883,2.2444846630096436,0.20818820595741272","0.28525277972221375,2.2359511852264404,0.026239311322569847","0.44270047545433044,2.3194425106048584,0.21200212836265564","0.27142491936683655,2.303412437438965,0.023530537262558937","0.43777769804000854,2.372429370880127,-0.1069621741771698","0.3282772898674011,2.3815112113952637,-0.34600573778152466"
left,"0.39854326844215393,0.3461313545703888,-0.2029682695865631","0.41052302718162537,0.3076484501361847,-0.1502199023962021","0.4190162718296051,0.31086936593055725,-0.15021660923957825","0.4266015887260437,0.31465908885002136,-0.15010972321033478","0.3840605914592743,0.30842941999435425,-0.1712597757577896","0.37492635846138,0.31150081753730774,-0.17127792537212372","0.36590373516082764,0.31477588415145874,-0.17186421155929565","0.43582883477211,0.35166868567466736,0.09239901602268219","0.3529277741909027,0.34344416856765747,0.008990231901407242","0.41494378447532654,0.39822736382484436,-0.11675480008125305","0.3809499442577362,0.40132230520248413,-0.14197105169296265","0.5234838128089905,0.6260364055633545,0.22211076319217682","0.27062830328941345,0.5762152075767517,-0.14586175978183746","0.6318731904029846,0.8630955815315247,0.12200465053319931","0.20463897287845612,0.6780662536621094,-0.6972221732139587","0.8055515289306641,0.957839846611023,-0.1348738968372345","0.5529748797416687,0.5254812240600586,-1.0484727621078491","0.8567304015159607,0.947458803653717,-0.1713337004184723","0.611219584941864,0.510128378868103,-1.1354503631591797","0.8562087416648865,0.9355154633522034,-0.20646880567073822","0.6287676692008972,0.47620952129364014,-1.0697332620620728","0.8299964070320129,0.9391269087791443,-0.1626509130001068","0.6045010089874268,0.4844570457935333,-1.0313266515731812","0.47880855202674866,1.267585277557373,0.04408055543899536","0.2829366624355316,1.2386000156402588,-0.041295748203992844","0.46596845984458923,1.7664289474487305,-0.038688939064741135","0.29628702998161316,1.7612571716308594,-0.07380424439907074","0.44534721970558167,2.2467405796051025,0.20108897984027863","0.28734996914863586,2.2411155700683594,0.037260811775922775","0.44476258754730225,2.3226478099823,0.20522937178611755","0.27194198966026306,2.308476209640503,0.035183168947696686","0.4422479569911957,2.3741934299468994,-0.11470630764961243","0.33989208936691284,2.386610746383667,-0.3364439904689789"
left,"0.3978739380836487,0.34616294503211975,-0.3398144841194153","0.4104481339454651,0.30781427025794983,-0.290865033864975","0.4188830256462097,0.3111238479614258,-0.2907465994358063","0.42642614245414734,0.3149067759513855,-0.2906932532787323","0.3839954435825348,0.30844441056251526,-0.30056750774383545","0.37477654218673706,0.3114796578884125,-0.3005358576774597","0.3657132387161255,0.3147015869617462,-0.300991952419281","0.4353852868080139,0.35156184434890747,-0.04126105085015297","0.3525412678718567,0.3435632288455963,-0.07345371693372726","0.4147563874721527,0.3985079526901245,-0.25132617354393005","0.38034266233444214,0.4013174772262573,-0.2617781460285187","0.5227354168891907,0.6275474429130554,0.1116601899266243","0.2712048590183258,0.576611340045929,-0.1810007095336914","0.6304625272750854,0.8865787386894226,0.11081726849079132","0.20515458285808563,0.6818363070487976,-0.6790341138839722","0.7821952700614929,1.0443593263626099,-0.06884675472974777","0.5524015426635742,0.5291435718536377,-1.0351046323776245","0.8341405987739563,1.093674898147583,-0.09600215405225754","0.6071064472198486,0.5067040920257568,-1.130998134613037","0.823573112487793,1.0795373916625977,-0.13786272704601288","0.613884687423706,0.47237902879714966,-1.0638008117675781","0.794585645198822,1.069459319114685,-0.09707964956760406","0.5884799361228943,0.4862982928752899,-1.020219087600708","0.47877565026283264,1.2673189640045166,0.037814658135175705","0.2830834984779358,1.2411316633224487,-0.03483213111758232","0.4668087959289551,1.773486614227295,-0.054767124354839325","0.2964361608028412,1.7673017978668213,-0.035573411732912064","0.450373113155365,2.26057767868042,0.20550231635570526","0.2927953898906708,2.2480437755584717,0.15279912948608398","0.4529220163822174,2.336803674697876,0.21069392561912537","0.2798328697681427,2.3152151107788086,0.15832938253879547","0.44324228167533875,2.3946316242218018,-0.12234871089458466","0.3404388427734375,2.399172782897949,-0.22727617621421814"
left,"0.4000362157821655,0.3481612801551819,-0.3199189603328705","0.41120877861976624,0.30853769183158875,-0.2778971493244171","0.41941070556640625,0.31168875098228455,-0.27775824069976807","0.4267571270465851,0.31527695059776306,-0.2777513563632965","0.3854905664920807,0.3088143765926361,-0.2834443151950836","0.37657517194747925,0.3116847276687622,-0.2833944261074066","0.3678261935710907,0.31480684876441956,-0.28382766246795654","0.43496274948120117,0.35149312019348145,-0.058252181857824326","0.3532482981681824,0.3436545431613922,-0.06991810351610184","0.41567909717559814,0.39966434240341187,-0.24148254096508026","0.3824094533920288,0.4021155536174774,-0.24642445147037506","0.5222164988517761,0.6336348652839661,0.08105310797691345","0.2714669406414032,0.5768866539001465,-0.16964925825595856","0.6282501816749573,0.9031200408935547,0.08940784633159637","0.1932469755411148,0.6853005886077881,-0.6556857824325562","0.7640833258628845,1.0597208738327026,-0.05163152515888214","0.5416901111602783,0.5268580317497253,-1.0377455949783325","0.8176409006118774,1.1094352006912231,-0.07851246744394302","0.5946727395057678,0.5030032992362976,-1.137380838394165","0.804191529750824,1.0947977304458618,-0.11923722922801971","0.6119629144668579,0.46830815076828003,-1.0703414678573608","0.7749150991439819,1.0837247371673584,-0.07892043888568878","0.5863350629806519,0.48202943801879883,-1.0248175859451294","0.4784184694290161,1.2706353664398193,0.032273732125759125","0.2824263870716095,1.2437676191329956,-0.029062099754810333","0.4666653275489807,1.78475022315979,-0.05474407225847244","0.29695746302604675,1.7741243839263916,-0.034265682101249695","0.4508492350578308,2.276599168777466,0.2246878743171692","0.29311054944992065,2.2597532272338867,0.1526665836572647","0.4531402289867401,2.3536198139190674,0.23083828389644623","0.2802984118461609,2.3280043601989746,0.15814252197742462","0.440773069858551,2.410034656524658,-0.11455404758453369","0.33986127376556396,2.4132332801818848,-0.22268734872341156"
left,"0.40312764048576355,0.34865114092826843,-0.3723297119140625","0.4129311144351959,0.3085538148880005,-0.3255869150161743","0.4209100902080536,0.31169915199279785,-0.32541534304618835","0.4280649423599243,0.31530243158340454,-0.325399786233902","0.3870859146118164,0.30876898765563965,-0.3350244164466858","0.3780127763748169,0.3115387558937073,-0.3349803686141968","0.36900532245635986,0.3145531713962555,-0.33540022373199463","0.4348941147327423,0.3514522314071655,-0.08123768121004105","0.35318759083747864,0.34303030371665955,-0.11116586625576019","0.4174070358276367,0.4002351760864258,-0.28498294949531555","0.383937805891037,0.40249401330947876,-0.2950592339038849","0.5217450261116028,0.6335728764533997,0.06438568234443665","0.27134087681770325,0.5764405131340027,-0.21311353147029877","0.624653697013855,0.9069351553916931,0.08558303862810135","0.19402940571308136,0.6869942545890808,-0.6906032562255859","0.7445785403251648,1.139569640159607,-0.03856835886836052","0.5500966310501099,0.5287783741950989,-1.0572837591171265","0.7949726581573486,1.2101408243179321,-0.06638908386230469","0.605433464050293,0.505394458770752,-1.1590378284454346","0.7766215801239014,1.2054541110992432,-0.11091218143701553","0.6127031445503235,0.47088155150413513,-1.0974715948104858","0.7497209310531616,1.18423330783844,-0.06736622750759125","0.5865985751152039,0.4844891130924225,-1.0451637506484985","0.4793858230113983,1.2708152532577515,0.03180120512843132","0.2838088870048523,1.2460720539093018,-0.028575120493769646","0.4732937812805176,1.7860099077224731,-0.05388399586081505","0.3045888841152191,1.777856469154358,-0.01500391773879528","0.4618348777294159,2.277754783630371,0.25304821133613586","0.30524900555610657,2.263230562210083,0.21475300192832947","0.4648260772228241,2.354952096939087,0.26169008016586304","0.2939216196537018,2.33236026763916,0.2242872416973114","0.4452260136604309,2.414353609085083,-0.09704066812992096","0.3461088538169861,2.4171321392059326,-0.1668844372034073"
left,"0.40374574065208435,0.3485677242279053,-0.42881014943122864","0.4133268892765045,0.3079685568809509,-0.37952789664268494","0.42143896222114563,0.31098267436027527,-0.3793794810771942","0.42875805497169495,0.31451311707496643,-0.37941211462020874","0.3871488869190216,0.30814769864082336,-0.3862863779067993","0.3779846727848053,0.31079259514808655,-0.38617759943008423","0.3689001798629761,0.31375378370285034,-0.38654863834381104","0.43504831194877625,0.3501134514808655,-0.11786483973264694","0.3527611196041107,0.3424876630306244,-0.13485881686210632","0.4182775914669037,0.4000127613544464,-0.3345291316509247","0.3844708204269409,0.4021240472793579,-0.34082671999931335","0.526444673538208,0.6358940601348877,0.02209204062819481","0.27177613973617554,0.5764602422714233,-0.2269403040409088","0.624305009841919,0.921749472618103,0.01386891771107912","0.20924851298332214,0.6871376633644104,-0.6892921328544617","0.7160470485687256,1.192219853401184,-0.04327702894806862","0.5508682727813721,0.5259162187576294,-1.0380643606185913","0.7609622478485107,1.2739289999008179,-0.07212284952402115","0.6057087779045105,0.5013283491134644,-1.1402571201324463","0.7363468408584595,1.2726047039031982,-0.1402284950017929","0.6109458804130554,0.46793133020401,-1.0762523412704468","0.7120603322982788,1.244214653968811,-0.07331105321645737","0.5962487459182739,0.48130956292152405,-1.024681568145752","0.48293542861938477,1.27519953250885,0.024039767682552338","0.2875082194805145,1.2537602186203003,-0.02079448103904724","0.4764675796031952,1.7954531908035278,-0.05719728022813797","0.3077763319015503,1.788885235786438,0.022704385221004486","0.46278998255729675,2.2864599227905273,0.261986643075943","0.3058989346027374,2.275148630142212,0.2834170460700989","0.4655066132545471,2.3642783164978027,0.2729778289794922","0.2951030731201172,2.3470804691314697,0.29672858119010925","0.4443497955799103,2.4286839962005615,-0.09303661435842514","0.3457673490047455,2.431722402572632,-0.10061561316251755"
left,"0.40361663699150085,0.34947243332862854,-0.45408692955970764","0.41380447149276733,0.30819493532180786,-0.40407082438468933","0.42225760221481323,0.3112841546535492,-0.40390557050704956","0.42986953258514404,0.3148967921733856,-0.4039122462272644","0.3870120644569397,0.30815207958221436,-0.4122771918773651","0.37780436873435974,0.3106781542301178,-0.4121663272380829","0.3683999478816986,0.31336233019828796,-0.4125373959541321","0.4367498457431793,0.3500816524028778,-0.13233014941215515","0.3527192175388336,0.3414088189601898,-0.1553066372871399","0.4181974232196808,0.4018767774105072,-0.3560384213924408","0.3839898705482483,0.40317973494529724,-0.363974392414093","0.5290321111679077,0.6421471834182739,0.00757141737267375","0.2717348337173462,0.5788336992263794,-0.25532007217407227","0.6215285062789917,0.9302908182144165,-0.0053411987610161304","0.2640469968318939,0.7565943598747253,-0.7088011503219604","0.7007794976234436,1.2244986295700073,-0.06761011481285095","0.557217538356781,0.5238649845123291,-1.020126461982727","0.7406738996505737,1.3144876956939697,-0.0948970839381218","0.6139914393424988,0.4987250566482544,-1.1170146465301514","0.7151660323143005,1.314283013343811,-0.16384339332580566","0.6208887100219727,0.46686142683029175,-1.053282618522644","0.6929487586021423,1.282457947731018,-0.0900595486164093","0.6055558323860168,0.47884294390678406,-1.00490403175354","0.4891118109226227,1.2794348001480103,0.020618557929992676","0.29528939723968506,1.262209415435791,-0.017553210258483887","0.481851726770401,1.8004279136657715,-0.06051395460963249","0.31506940722465515,1.79604172706604,0.04638921096920967","0.4637949764728546,2.2907772064208984,0.26497969031333923","0.3085392713546753,2.282088279724121,0.34648337960243225","0.4660242795944214,2.367175817489624,0.2762835621833801","0.2977033257484436,2.3537304401397705,0.3643471598625183","0.44437500834465027,2.436994791030884,-0.09336402267217636","0.34533214569091797,2.4394400119781494,-0.04016636312007904"
left,"0.40423354506492615,0.35020914673805237,-0.44374150037765503","0.4149249494075775,0.3085165023803711,-0.39390257000923157","0.4234314560890198,0.3117331564426422,-0.39375030994415283","0.43107613921165466,0.31548380851745605,-0.39382970333099365","0.3876414895057678,0.3081982433795929,-0.40272340178489685","0.3780890107154846,0.3106796145439148,-0.4026707410812378","0.3684682846069336,0.3133135437965393,-0.40298211574554443","0.43702447414398193,0.3502710461616516,-0.12746843695640564","0.35257455706596375,0.34142687916755676,-0.15430623292922974","0.41821616888046265,0.4031435549259186,-0.34769725799560547","0.3840518891811371,0.4041827321052551,-0.35666120052337646","0.5308532118797302,0.6459547877311707,0.0034353865776211023","0.27181676030158997,0.5861061811447144,-0.24726329743862152","0.6191133856773376,0.919400155544281,-0.020197352394461632","0.2687288522720337,0.7705496549606323,-0.6942235231399536","0.7001152634620667,1.201522707939148,-0.12830495834350586","0.5618415474891663,0.522136926651001,-1.0073260068893433","0.7434290051460266,1.2839759588241577,-0.16339798271656036","0.6186163425445557,0.49770021438598633,-1.1020572185516357","0.7186812162399292,1.2854814529418945,-0.21430282294750214","0.6255766749382019,0.4672614336013794,-1.0403234958648682","0.6955420970916748,1.2566195726394653,-0.15265052020549774","0.6100060939788818,0.4780472218990326,-0.9942046999931335","0.49204108119010925,1.2865656614303589,0.015002033673226833","0.30087655782699585,1.2757079601287842,-0.01211385615170002","0.4877912700176239,1.8137917518615723,-0.06066965311765671","0.32455974817276,1.8152827024459839,0.03273545950651169","0.4711051881313324,2.3103556632995605,0.26727810502052307","0.32099395990371704,2.307741403579712,0.2961220443248749","0.4728294014930725,2.388246536254883,0.2793435752391815","0.31106051802635193,2.381369113922119,0.310139000415802","0.45044755935668945,2.4573585987091064,-0.08090255409479141","0.3553730547428131,2.463329553604126,-0.0864744558930397"
left,"0.4027361273765564,0.3507532775402069,-0.4124692380428314","0.4138948321342468,0.30898863077163696,-0.36325350403785706","0.4226398169994354,0.31221750378608704,-0.36310097575187683","0.43052616715431213,0.3159283399581909,-0.36312612891197205","0.3868694007396698,0.3085211515426636,-0.3701275885105133","0.37751924991607666,0.3109198808670044,-0.3700372874736786","0.3681425452232361,0.3134898543357849,-0.37036028504371643","0.43696051836013794,0.3507978320121765,-0.11105551570653915","0.3524458110332489,0.3421052396297455,-0.12994299829006195","0.4172911047935486,0.4037874639034271,-0.3232153654098511","0.3832912743091583,0.4044002592563629,-0.32986751198768616","0.5303983092308044,0.644838273525238,0.01527227833867073","0.27190160751342773,0.5884808301925659,-0.2236332893371582","0.6196118593215942,0.9217966198921204,-0.006128199398517609","0.26173028349876404,0.7815884351730347,-0.6863206028938293","0.7072851657867432,1.2066837549209595,-0.1287137120962143","0.5525791645050049,0.5267122387886047,-1.0080448389053345","0.7531622052192688,1.2907878160476685,-0.16436778008937836","0.6084826588630676,0.5001046657562256,-1.108802318572998","0.7269114851951599,1.2939481735229492,-0.2137768566608429","0.6180935502052307,0.4697500169277191,-1.050171136856079","0.7022029161453247,1.265419602394104,-0.15332834422588348","0.6061206459999084,0.48342642188072205,-0.9975202083587646","0.4906698763370514,1.2893893718719482,0.011735440231859684","0.2996748983860016,1.276678204536438,-0.00860986765474081","0.48762187361717224,1.8187223672866821,-0.10431002080440521","0.32329532504081726,1.8194001913070679,0.016231680288910866","0.4700830578804016,2.316878080368042,0.20745092630386353","0.3184085786342621,2.311314821243286,0.24297162890434265","0.4722260534763336,2.3963112831115723,0.21679119765758514","0.30813461542129517,2.386214256286621,0.2525269687175751","0.44512858986854553,2.4606361389160156,-0.15096299350261688","0.3484637439250946,2.4654347896575928,-0.1347237378358841"
left,"0.40237000584602356,0.3589111566543579,-0.4157558083534241","0.4136773943901062,0.31530559062957764,-0.368055522441864","0.4225176274776459,0.31799328327178955,-0.36786752939224243","0.43049564957618713,0.32108867168426514,-0.3679583668708801","0.3868296444416046,0.3146929442882538,-0.37498652935028076","0.37744247913360596,0.31663110852241516,-0.37489941716194153","0.36821648478507996,0.318727046251297,-0.37517672777175903","0.4368930459022522,0.3549131751060486,-0.12085376679897308","0.35291895270347595,0.3467634320259094,-0.13830037415027618","0.41725996136665344,0.4102409780025482,-0.3282017111778259","0.3832705318927765,0.4110608994960785,-0.3346126973628998","0.5301408171653748,0.6505590081214905,0.004761542193591595","0.2725563049316406,0.5927119851112366,-0.22976471483707428","0.6209458112716675,0.9225828051567078,0.005215703975409269","0.26458004117012024,0.7829310297966003,-0.6762162446975708","0.7144297957420349,1.2036381959915161,-0.08173969388008118","0.5560933351516724,0.525145947933197,-1.0069177150726318","0.7609618902206421,1.2837374210357666,-0.10848606377840042","0.6036329865455627,0.4996819496154785,-1.1046226024627686","0.7374225854873657,1.286980152130127,-0.15229561924934387","0.6176868677139282,0.4703577160835266,-1.04237961769104","0.7125489115715027,1.260925531387329,-0.10815394669771194","0.5982696413993835,0.4831558167934418,-0.9940565228462219","0.49202048778533936,1.2975659370422363,0.008591492660343647","0.300916463136673,1.2870798110961914,-0.0054891835898160934","0.4914272725582123,1.8302127122879028,-0.09418173879384995","0.3263716697692871,1.8307740688323975,0.009573239833116531","0.476842999458313,2.330260753631592,0.23546360433101654","0.3240872919559479,2.3235955238342285,0.23210838437080383","0.479009747505188,2.4096145629882812,0.2473025918006897","0.3142668306827545,2.398049831390381,0.2417999655008316","0.4545460343360901,2.4730224609375,-0.11620046198368073","0.35621991753578186,2.478297472000122,-0.14762967824935913"
